word,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
abide,0,0,0,0,0.002668584,0.002678248,0.002662299,0.002440135,0,0,0.004360933,0.002609237,0,0,0.006469585,0.004293017,0,0,0,0,0,0.005272583,0,0.002492461,0.005472794,0,0,0.00272876,0,0,0,0,0,0.003694372,0,0,0,0,0.00395508,0.008940736,0,0,0.00797502,0,0,0,0.007323994,0,0.003637601,0.00376866,0
abided,0,0,0,0,0,0,0,0.003750129,0,0,0,0,0,0,0,0,0,0,0,0,0.004832188,0,0,0,0,0.004017591,0,0,0.004739798,0,0.004541482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005636705
abides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009627239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abiding,0,0,0,0,0,0,0,0,0,0,0,0,0.003675847,0,0,0,0,0,0.003755386,0,0,0.003871574,0,0.003660349,0,0.003839083,0,0,0,0,0,0,0,0,0,0,0.005546872,0,0,0,0,0,0,0,0,0.005580663,0,0,0,0,0
abilities,0,0,0.003161287,0,0.003155319,0,0.003147889,0,0.002979667,0,0.005156344,0,0,0,0,0.00253802,0,0,0.00302359,0,0.003717697,0,0,0,0.003235501,0,0,0,0.003646615,0,0,0,0,0,0.004351681,0.005147481,0,0,0,0,0,0,0,0,0,0,0,0.00442427,0,0,0
ability,0,0.007475162,0.0030109,0.004085629,0.006010432,0.003016099,0.001499069,0.001373975,0,0.001735479,0.004911049,0,0.0070469,0.004287512,0.002428567,0.007251849,0.005624462,0.006848783,0.005759506,0.003471914,0.00354084,0.008906551,0.004328408,0.009824066,0.009244751,0.010303774,0.006156302,0.012291931,0.00173657,0,0.014975199,0.004978992,0.002243257,0.014561413,0.006216997,0.002451304,0.004253523,0.002351142,0.004453999,0.002517145,0.011318259,0.011281377,0.00224526,0.00202879,0.004740004,0.002139718,0.00824789,0.006320701,0,0.008488127,0.00206518
abject,0.024195488,0.003596262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003375934,0,0.003540781,0,0,0,0,0,0.00598842,0,0,0,0.005896548,0.005115871,0.005655613,0,0,0,0.005427413,0,0,0,0,0,0,0,0,0
abjure,0,0,0,0,0.0058108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abkhazia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003937988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006078376,0,0,0.006158282,0.006128216,0.005537382,0.006468688,0,0,0,0,0,0
ablaze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008674996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
